18175
+Vehicle assignments
car0;z7
car1;z23
car2;z5
car3;z5
car4;z9
car5;z10
car6;z4
car7;z3
car8;z12
car9;z12
car10;z4
car11;z22
car12;z14
car13;z13
+Assigned requests
req0;car5
req1;car2
req2;car0
req3;car9
req4;car10
req5;car12
req6;car3
req7;car13
req8;car9
req9;car8
req11;car10
req12;car8
req13;car0
req14;car0
req16;car11
req20;car3
req22;car3
req23;car13
req24;car2
req25;car6
req26;car6
req28;car4
req29;car11
req30;car9
req31;car11
req32;car11
req33;car13
req35;car7
req39;car7
req40;car4
req41;car5
req44;car5
req48;car2
req49;car1
req50;car7
req52;car5
req54;car5
req55;car9
req56;car3
req57;car4
req61;car12
req65;car13
req66;car10
req73;car4
req75;car7
req76;car0
req78;car6
req83;car1
req84;car8
req92;car4
req94;car12
+Unassigned requests
req10
req15
req17
req18
req19
req21
req27
req34
req36
req37
req38
req42
req43
req45
req46
req47
req51
req53
req58
req59
req60
req62
req63
req64
req67
req68
req69
req70
req71
req72
req74
req77
req79
req80
req81
req82
req85
req86
req87
req88
req89
req90
req91
req93
req95
req96
req97
req98
req99
